authorName,authorID,firstname,surname
Ilia Rainer,10546,Ilia,Rainer
Francesco Trebbi,10604,Francesco,Trebbi
Pablo Fajgelbaum,10548,Pablo,Fajgelbaum
Stephen J. Redding,10891,Stephen,Redding
Günther Fink,10550,Günther,Fink
B. Kelsey Jack,10551,B.,Jack
Felix Masiye,10552,Felix,Masiye
Mara P. Squicciarini,10553,Mara,Squicciarini
Kris James Mitchener,10555,Kris,Mitchener
Kirsten Wandschneider,10556,Kirsten,Wandschneider
Jeremy D. Goldhaber-Fiebert,10557,Jeremy,Goldhaber-Fiebert
David M. Studdert,10558,David,Studdert
Monica S. Farid,10559,Monica,Farid
Jay Bhattacharya,10560,Jay,Bhattacharya
Mark Pauly,10561,Mark,Pauly
Scott Harrington,10562,Scott,Harrington
Adam Leive,10563,Adam,Leive
Mark Gertler,10564,Mark,Gertler
Peter Karadi,10565,Peter,Karadi
Alberto Cavallo,10566,Alberto,Cavallo
Brent Neiman,10567,Brent,Neiman
Roberto Rigobon,10568,Roberto,Rigobon
Liran Einav,10569,Liran,Einav
Amy Finkelstein,10570,Amy,Finkelstein
Heidi Williams,10571,Heidi,Williams
Roger H. Gordon,10572,Roger,Gordon
Michael D. Bordo,10574,Michael,Bordo
Ehsan U. Choudhri,10575,Ehsan,Choudhri
Giorgio Fazio,10576,Giorgio,Fazio
Ronald MacDonald,10577,Ronald,MacDonald
Lewis Glinert,10580,Lewis,Glinert
Angela Hung,10581,Angela,Hung
Gabriel Chodorow-Reich,10583,Gabriel,Chodorow-Reich
Naomi R. Lamoreaux,10584,Naomi,Lamoreaux
Peter H. Lindert,10585,Peter,Lindert
H. Elizabeth Peters,10586,H.,Peters
Jamie Rubenstein Taber,10588,Jamie,Taber
Uri Gneezy,10589,Uri,Gneezy
Andreas Leibbrandt,10590,Andreas,Leibbrandt
Matthew A. Turner,10592,Matthew,Turner
Nikhil Patel,10593,Nikhil,Patel
Zhi Wang,10594,Zhi,Wang
Shang-Jin Wei,10595,Shang-Jin,Wei
Christoph E. Boehm,10596,Christoph,Boehm
Christopher L. House,10597,Christopher,House
Leonardo Melosi,10598,Leonardo,Melosi
Felipe Kast,10599,Felipe,Kast
Dina Pomeranz,10600,Dina,Pomeranz
John Komlos,10601,John,Komlos
David Lucca,10602,David,Lucca
Amit Seru,10603,Amit,Seru
Joshua Aizenman,10605,Joshua,Aizenman
Benjamin Hansen,10835,Benjamin,Hansen
Angus Deaton,10607,Angus,Deaton
Bettina Aten,10608,Bettina,Aten
Esben Hedegaard,10609,Esben,Hedegaard
Robert J. Hodrick,10610,Robert,Hodrick
Marcin Kacperczyk,10611,Marcin,Kacperczyk
Jaromir B. Nosal,10612,Jaromir,Nosal
Luminita Stevens,10613,Luminita,Stevens
Mario J. Crucini,10614,Mario,Crucini
Gregor W. Smith,10615,Gregor,Smith
John Fernald,10616,John,Fernald
Lynne G. Zucker,10617,Lynne,Zucker
Michael R. Darby,10618,Michael,Darby
